income,age,employment_years,total_debt,credit_history_years,num_credit_lines,num_delinquencies,payment_history_score,inquiries_last_6mo,debt_to_income,credit_utilization,good_credit,high_income,low_income,recent_inquiries,long_credit_history,strong_payment_history,short_employment,debt_ratio_category
72617.92699386079,74,18,7975.949920420529,9,2,0,721.6585487168369,0,0.10983444791937982,0.3816345925927349,0,0,0,0,0,1,0,0
39000.39734398761,22,26,21851.756722707854,22,10,0,650.4864681979972,1,0.5602957459631259,0.18721161041883083,0,0,1,0,1,0,0,3
83761.27989516142,33,31,0.0,13,4,0,714.7193886220115,0,0.0,0.297418841161325,1,0,0,0,1,0,0,0
88514.11790978035,35,25,28495.09913029294,3,1,0,850.0,0,0.3219271660068634,0.6121309017178255,1,1,0,0,0,1,0,1
16224.12028365409,34,24,3696.437779589598,20,1,0,793.9653696597715,2,0.22783594518303613,0.43796648186738113,1,0,1,0,1,1,0,1
32445.512328442048,46,37,23559.121632364302,4,9,0,676.9273239232131,2,0.726113411120716,0.310744052195847,1,0,1,0,0,0,0,3
68196.01007918213,68,10,10175.694939627607,29,5,1,658.1302602319008,1,0.14921246753017728,0.1553493828904636,1,0,0,0,1,0,0,0
57093.93519141045,22,31,14033.719309129447,12,1,0,471.16484820067467,4,0.24580052613435485,0.21159319891478612,1,0,0,1,1,0,0,1
64579.97106239278,65,37,6646.351908524028,10,9,1,785.4955322387758,3,0.10291661329644719,0.3411862652021332,0,0,0,1,1,1,0,0
43673.9018106605,54,22,15581.558532287978,1,4,0,762.928428301985,0,0.35677047129516204,0.38967047774800123,0,0,1,0,0,1,0,2
86984.94937157072,54,33,46340.69319026031,5,11,1,656.4937624578806,0,0.5327438082685811,0.44180142011828066,0,1,0,0,0,0,0,3
84444.79838572371,57,5,38775.89440572961,28,10,0,585.4633853698298,0,0.45918629858775395,0.4098374051899866,0,0,0,0,1,0,0,2
66650.7674390304,27,35,23317.184324931848,16,1,1,607.5786045448219,3,0.34984119794661817,0.27335745479163676,0,0,0,1,1,0,0,1
93181.03017420083,61,22,17620.586016525715,27,8,0,735.5518289983538,0,0.1891005710452464,0.24800111810933556,1,1,0,0,1,1,0,0
76687.73355630114,34,8,30663.017860393273,28,7,0,692.8527413069988,0,0.3998425359367503,0.7084579988121401,1,0,0,0,1,0,0,2
43517.68842791904,48,2,34949.55591161335,1,2,0,755.3273614085825,3,0.8031114972823613,0.2398358820529809,0,0,1,1,0,1,0,3
74218.76960206247,57,28,5552.724266887062,11,4,1,706.9154510694547,1,0.07481563352045595,0.10749333484637849,0,0,0,0,1,0,0,0
41027.93497927503,53,17,16838.416985516968,25,6,0,777.3407065693187,0,0.4104134657038619,0.045030853950561334,0,0,1,0,1,1,0,2
86961.2575326818,38,12,0.0,14,2,0,729.5660112313798,0,0.0,0.2764260003166519,1,1,0,0,1,1,0,0
63751.852225343675,42,15,34846.53165391342,15,8,1,766.3036304128544,0,0.5465963801450252,0.5091970877200295,0,0,0,0,1,1,0,3
60378.44091136849,46,39,48975.36386551283,17,4,0,532.825327126245,1,0.8111399222349147,0.23632941591858514,1,0,0,0,1,0,0,3
47976.76138990147,23,17,19201.239369346284,21,11,0,601.2523543602032,2,0.40021958158659526,0.6059526175497869,1,0,0,0,1,0,0,2
95563.53346685076,60,3,0.0,28,9,1,670.8518664089898,2,0.0,0.33868932187505985,1,1,0,0,1,0,0,0
