income,age,employment_years,total_debt,credit_history_years,num_credit_lines,num_delinquencies,payment_history_score,inquiries_last_6mo,debt_to_income,credit_utilization,good_credit,high_income,low_income,recent_inquiries,long_credit_history,strong_payment_history,short_employment,debt_ratio_category
46445.19765006408,55,24,15567.982400341232,20,8,0,673.6814166598398,3,0.3351903574108216,0.3142573858496965,0,0,0,1,1,0,0,1
92729.24528730327,71,35,34828.66603611188,17,11,0,782.2265270745837,1,0.3755952712458957,0.0,1,1,0,0,1,1,0,2
35699.8201851296,48,25,25973.789786141224,25,2,0,798.7966047763293,0,0.7275608014675755,0.4353798429806316,0,0,1,0,1,1,0,3
81005.34148321897,58,12,15895.743183891018,25,9,1,687.6576579185837,1,0.1962308027203857,0.2583264251903551,1,0,0,0,1,0,0,0
46195.978298312,73,30,14537.912017679751,6,6,0,680.7986278546582,0,0.3147008149454206,0.5844144961376192,1,0,0,0,0,0,0,1
61932.88406262182,70,24,0.0,9,10,1,795.1768002119684,1,0.0,0.3480574157680833,0,0,0,0,0,1,0,0
37323.8579489128,42,9,19220.817546376165,22,8,0,697.1413545375448,2,0.5149740300877992,0.4008465439883215,1,0,1,0,1,0,0,3
74742.29263300006,56,33,0.0,5,2,0,814.7027163604622,1,0.0,0.2459718907653179,1,0,0,0,0,1,0,0
66760.47818318222,51,13,10527.11364848445,0,11,1,716.3657319760262,1,0.1576848149529336,0.096612975933793,0,0,0,0,0,0,0,0
104570.73616933334,36,11,0.0,10,9,0,775.1114086978944,0,0.0,0.4720718117383401,1,1,0,0,1,1,0,0
104755.4701405445,68,15,29501.6143839468,7,6,0,660.7378365794586,1,0.2816236168322871,0.4995854010191488,1,1,0,0,0,0,0,1
97337.74921148426,26,0,0.0,13,6,0,831.0197967363817,1,0.0,0.2794727964212601,1,1,0,0,1,1,1,0
65628.21778040084,61,34,32606.10440146998,8,1,0,699.9515240180114,2,0.4968305631972752,0.2626560985446313,0,0,0,0,0,0,0,2
58008.07922167768,54,24,0.0,13,8,1,827.9318067585323,0,0.0,0.46814726812824,1,0,0,0,1,1,0,0
63066.095504478646,68,5,0.0,29,7,0,816.6591199982125,0,0.0,0.4624722430215766,1,0,0,0,1,1,0,0
84170.57179460609,53,29,7618.707650574457,10,1,0,599.0608727561847,0,0.0905150991389925,0.654059669588287,1,0,0,0,1,0,0,0
21557.1351215717,65,31,0.0,9,1,1,664.0013590696656,1,0.0,0.4309341051252998,1,0,1,0,0,0,0,0
79546.26098267696,38,1,28595.70219636878,7,11,0,560.0753261382728,0,0.3594851831262836,0.3933339147242716,1,0,0,0,0,0,1,2
97183.27779012664,38,21,35017.98673045828,3,2,1,624.186068935732,2,0.3603293439647282,0.3564644083579552,1,1,0,0,0,0,0,2
66803.23769284674,37,0,33292.60590301986,6,10,1,793.1996219143614,3,0.4983681488028358,0.6420319737862703,0,0,0,1,0,1,1,2
14961.356389033026,34,29,4585.919937696664,1,6,0,766.6836894452134,2,0.3065176591246924,0.5522654921430492,1,0,1,0,0,1,0,1
97211.10623295631,45,6,1741.5556559152446,18,6,1,687.9874370006949,1,0.0179151922388557,0.4779990934855777,0,1,0,0,1,0,0,0
21733.20986231954,21,36,40531.7272199192,17,6,0,825.0126629141843,0,1.8649673691409947,0.6413964896548086,1,0,1,0,1,1,0,3
38960.309184468206,45,23,42367.46768935134,18,7,0,736.3563990799254,2,1.0874520396835408,0.0138969637891475,1,0,1,0,1,1,0,3
16977.101852620464,22,6,0.0,12,6,1,719.4375742384678,1,0.0,0.4699588027634472,1,0,1,0,1,0,0,0
59870.95777834889,67,0,2495.465017216329,29,5,0,685.6128570478871,0,0.0416807265127594,0.2949680966177031,1,0,0,0,1,0,1,0
31932.509691139938,47,17,30308.98942496484,19,10,0,761.5675493125373,2,0.9491577617331606,0.1553352937064959,0,0,1,0,1,1,0,3
104249.96212497368,32,24,22054.424200617457,28,7,0,817.5783471354961,1,0.2115533066014821,0.0023615325865751,0,1,0,0,1,1,0,1
74711.85502128853,48,28,43773.55862177072,9,4,0,561.1569989312966,2,0.5858984308353447,0.0791014117028368,0,0,0,0,0,0,0,3
58519.76851712292,69,31,25786.06069382719,23,9,0,800.747078096959,1,0.4406384602543698,0.5263281487737617,1,0,0,0,1,1,0,2
51607.128180764994,74,9,26343.5870245992,26,9,0,636.7416068413431,2,0.5104641151959698,0.7261752917726809,0,0,0,0,1,0,0,3
19807.578505626683,48,1,0.0,28,1,0,625.410938528724,2,0.0,0.0,1,0,1,0,1,0,1,0
31491.0947994699,45,37,52917.08004639887,19,4,1,683.1136149056376,1,1.6803823551821906,0.2800513973139547,0,0,1,0,1,0,0,3
24968.051572028657,62,28,21800.968758318013,18,2,0,621.2622498504925,1,0.8731545869899323,0.4188849985732918,0,0,1,0,1,0,0,3
45819.573286734,67,30,14996.807855662511,3,1,0,797.6230019667453,1,0.3273013426339458,0.3951813699901566,1,0,0,0,0,1,0,1
72076.71470024974,21,36,0.0,12,6,1,625.5805291994322,0,0.0,0.6511877405739502,1,0,0,0,1,0,0,0
56579.20080898518,24,17,24401.53383326256,27,10,0,604.8358572693589,3,0.4312809916782604,0.5128139137068473,1,0,0,1,1,0,0,2
69990.87544778787,67,4,53185.99558441511,12,11,2,665.2307044015788,0,0.7598989903204034,0.4735820828686319,0,0,0,0,1,0,0,3
83736.4253851641,71,36,0.0,17,6,0,737.9629348111184,2,0.0,0.2389962655735196,1,0,0,0,1,1,0,0
102002.4800928479,63,36,20458.211536140603,6,5,1,566.5206653541459,2,0.2005658246497388,0.5536371258269372,1,1,0,0,0,0,0,1
72740.50204772917,27,28,48267.14057408838,17,1,1,582.1519541891478,1,0.6635524806031387,0.2372679691207498,0,0,0,0,1,0,0,3
54823.04409124187,25,30,0.0,5,3,0,753.7186630690444,0,0.0,0.498280443538941,0,0,0,0,0,1,0,0
50222.41437022236,48,38,23743.067030572067,25,1,3,595.1983230736837,0,0.472758375484427,0.2113706853425731,0,0,0,0,1,0,0,2
80922.65708430525,25,5,8822.926748103064,8,8,0,616.8748846720883,2,0.1090291281329447,0.3340797004451812,1,0,0,0,0,0,0,0
48630.30761426524,65,33,5751.845607049179,5,3,0,819.6772767857385,2,0.1182769735423579,0.2993538937209369,0,0,0,0,0,1,0,0
43919.24324267822,62,27,0.0,23,2,0,673.0753427896515,0,0.0,0.5368582254213217,0,0,1,0,1,0,0,0
38542.97372905907,38,23,29040.842006075614,9,8,1,850.0,1,0.7534665646252556,0.3207406152137347,0,0,1,0,0,1,0,3
27437.41359897757,60,38,22847.96395288061,7,10,1,787.8182248837572,2,0.8327302378724216,0.6925072400307237,0,0,1,0,0,1,0,3
81608.84185599828,60,17,15840.41836168304,21,4,1,748.5713973302147,5,0.1941017419366645,0.5198278205512191,1,0,0,1,1,1,0,0
75098.85051839029,63,13,45206.04105472079,22,1,1,780.3149284777095,0,0.6019538347481188,0.2550158696374942,0,0,0,0,1,1,0,3
30567.10861199081,37,35,10562.621192819584,4,1,0,765.5224072047242,1,0.3455551300876425,0.4162098911641966,1,0,1,0,0,1,0,1
12000.0,39,6,19049.37884117062,15,4,1,551.8200571263606,1,1.5874482367642182,0.2674212718588641,0,0,1,0,1,0,0,3
59444.43257253066,33,4,7845.144785817538,20,1,0,682.2153467951941,0,0.1319744246232874,0.2829926701735272,1,0,0,0,1,0,0,0
72847.70528643884,33,26,27311.32230961135,20,11,0,706.821365219473,1,0.3749098506565527,0.4589350634374741,0,0,0,0,1,0,0,2
71093.8120100412,35,39,3309.329937160621,17,8,0,656.8960533880602,2,0.0465487760973235,0.26579903150722,1,0,0,0,1,0,0,0
67262.24454069686,60,15,0.0,18,11,0,673.0059158182238,2,0.0,0.0243723473648767,0,0,0,0,1,0,0,0
122489.72732593298,29,20,0.0,0,7,0,733.675361912416,2,0.0,0.3833394807653831,0,1,0,0,0,1,0,0
90633.70085644387,70,17,17737.07627576734,4,6,0,829.8443390946843,3,0.1957006732392112,0.4412590792254999,1,1,0,1,0,1,0,0
70920.65291970069,68,39,28523.482079107027,23,1,0,591.340394168437,3,0.4021886559815305,0.4045475546772681,0,0,0,1,1,0,0,2
29578.94768507815,32,16,15696.74516744943,16,9,0,720.4656152047393,2,0.5306728736454694,0.271694352649268,0,0,1,0,1,1,0,3
57120.6402528694,47,22,22975.44868071891,19,11,0,827.7958644851532,1,0.4022267358875544,0.5529446232586205,0,0,0,0,1,1,0,2
82143.72588186654,45,25,29656.926889132923,13,5,0,617.0091199478237,0,0.3610370307743707,0.4984314744801671,0,0,0,0,1,0,0,2
56712.79569756863,28,36,7971.182138287655,3,3,1,749.5726581878702,2,0.1405535036712956,0.3563400867806345,1,0,0,0,0,1,0,0
50097.77750859584,32,39,25479.538008777683,23,9,0,789.1977628485237,0,0.5085961748384122,0.6765126390362517,0,0,0,0,1,1,0,3
71809.24388185599,73,21,14757.416650170517,10,7,1,761.9652146797982,1,0.2055085926604397,0.157958210168307,1,0,0,0,1,1,0,1
63466.891354278814,40,26,15215.835977894249,20,5,1,662.6379283936192,2,0.2397444660233611,0.4081097308138943,1,0,0,0,1,0,0,1
60308.22522678869,29,39,8298.61625280643,28,8,0,714.3722521365754,0,0.1376033902771891,0.2055744901591301,0,0,0,0,1,0,0,0
45077.22526758275,65,32,18989.61754659005,23,7,1,687.1020488236768,0,0.4212685548825566,0.3780595745863414,1,0,0,0,1,0,0,2
56627.87425035563,39,27,12851.163572447009,6,10,1,785.2142689297962,1,0.2269405967038627,0.5251324846268557,0,0,0,0,0,1,0,1
115024.07753975384,23,12,14629.023686800176,23,7,1,842.1560674270554,1,0.1271822734830817,0.3920674548131099,1,1,0,0,1,1,0,0
73921.77647873774,65,24,2273.5853619821137,25,11,1,614.7361132770088,1,0.0307566385750492,0.0449934331474739,1,0,0,0,1,0,0,0
59501.60511834161,65,19,9611.453499075094,5,5,0,701.6556787397088,1,0.161532675966624,0.3190669534242169,0,0,0,0,0,0,0,0
93344.73181410028,56,24,9544.12273653306,17,11,0,643.3526759727011,0,0.102245970940712,0.2493921545440581,1,1,0,0,1,0,0,0
80782.2056459635,66,24,23849.399162966216,1,3,0,850.0,0,0.2952308490744695,0.4865245530569981,0,0,0,0,0,1,0,1
12000.0,41,28,17235.362020421224,1,7,0,690.1372545418571,0,1.4362801683684354,0.3862773521269052,0,0,1,0,0,0,0,3
72227.9849672496,36,16,24292.459084645725,14,7,0,675.052292253256,0,0.3363302893699814,0.0,1,0,0,0,1,0,0,1
105044.47228302289,28,22,7039.312871981694,11,10,2,775.1561044783448,0,0.0670126920435714,0.4463111827993075,1,1,0,0,1,1,0,0
61654.42588709897,63,2,26553.01355868137,13,8,0,742.7974644752335,3,0.4306748976513869,0.6114209957760899,1,0,0,1,1,1,0,2
97589.12669520218,36,28,0.0,29,11,0,850.0,4,0.0,0.1508098915237006,0,1,0,1,1,1,0,0
37939.32006529283,71,27,65697.96733235271,17,2,0,691.4173528260767,1,1.7316590602912174,0.3328643295365948,0,0,1,0,1,0,0,3
34129.672827213035,64,35,0.0,12,7,1,839.4664102392994,1,0.0,0.383162155975396,0,0,1,0,1,1,0,0
40375.12680688896,69,18,27125.942871886844,8,10,0,725.8097943612739,1,0.6718478681597234,0.4841047397698128,0,0,1,0,0,1,0,3
87709.83243168262,25,23,7600.436591993635,4,11,1,736.7186320356852,1,0.0866543280414272,0.419050239956824,1,1,0,0,0,1,0,0
114937.85444511908,27,25,16636.55789876792,16,2,2,741.2854830139761,0,0.1447439399237402,0.2119987508922016,1,1,0,0,1,1,0,0
37042.3545698364,51,16,687.7659661960788,10,3,1,779.9287320252289,1,0.018567015358039,0.478922288178532,1,0,1,0,1,1,0,0
43012.25928352644,37,6,47430.08495763371,8,5,0,673.7652133769817,2,1.1027108491322448,0.6282781871893971,0,0,1,0,0,0,0,3
61480.22783959037,34,16,19495.655644861366,7,9,0,705.5801827378789,2,0.3171044794389503,0.3419497708862644,0,0,0,0,0,0,0,1
101376.1394067678,26,35,15583.147238154448,2,1,2,779.7654309545011,1,0.1537161242215752,0.5354950915454634,1,1,0,0,0,1,0,0
68648.45735361935,67,30,2834.943094276376,11,8,0,789.0727473493737,0,0.0412965302289769,0.3020680283590714,1,0,0,0,1,1,0,0
72786.32085758599,52,4,23822.05384962269,28,4,1,676.1146230143144,2,0.327287511842136,0.5602999828570002,1,0,0,0,1,0,0,1
65333.88978859182,37,23,0.0,3,6,0,697.8685050565435,1,0.0,0.3701063164301746,0,0,0,0,0,0,0,0
71134.2752248833,21,39,16110.593511795014,19,10,1,728.7545937519534,4,0.2264814459817453,0.3775855821262238,1,0,0,1,1,1,0,1
58687.06664242588,41,8,8700.695041607236,28,1,0,656.1192165105941,1,0.1482557493394525,0.163997922509949,1,0,0,0,1,0,0,0
35977.201090331524,57,2,44612.73335255653,12,5,0,691.8623581480931,0,1.2400279065773605,0.7544809838099547,0,0,1,0,1,0,0,3
60783.70616498868,50,35,12368.9975403715,22,2,0,629.4104543102266,2,0.2034919935088792,0.6205260048802579,0,0,0,0,1,0,0,1
53211.87981375128,42,35,31884.669320911395,8,4,0,665.371471085095,2,0.5992020848072276,0.2910075050866141,0,0,0,0,0,0,0,3
46772.90405640979,47,10,51476.79218238587,7,1,0,688.9511450589487,2,1.1005686565944894,0.0735757846494293,0,0,0,0,0,0,0,3
54114.81317640095,67,31,25090.2463835792,26,5,0,751.7379501877655,0,0.4636483970071408,0.0645592405132685,1,0,0,0,1,1,0,2
44344.26334090119,46,25,4775.584762855484,27,11,1,676.8825037666636,1,0.1076934061604017,0.1800899945912879,1,0,1,0,1,0,0,0
67759.89314030546,54,29,15522.01261304345,9,7,0,614.4863050472566,0,0.2290737469273033,0.5148939417537544,1,0,0,0,0,0,0,1
88569.14503063189,42,15,34078.54434273987,2,1,2,780.248938747012,0,0.3847676787548724,0.1447219180404215,1,1,0,0,0,1,0,2
61298.18988630614,74,5,13034.242027918794,3,1,0,678.3520230741068,1,0.2126366545585485,0.5063000389597672,0,0,0,0,0,0,0,1
43519.849535610745,53,33,6744.370375102815,10,3,0,829.444067284227,1,0.1549722815467029,0.5316229591133049,1,0,1,0,1,1,0,0
41836.67222107123,31,18,31378.463632606432,24,3,0,837.4711169823096,3,0.7500229336310005,0.3405318941022241,1,0,1,1,1,1,0,3
69468.52408215818,71,2,17265.202679085724,29,5,0,723.6280317296843,2,0.2485327406505243,0.4091733225903853,0,0,0,0,1,1,0,1
